nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1717777895,1717777935,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999965,4,collapse,2.0.14,,group_by,1,0.221,NA,TRUE,29998597;79991898;499980747,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717777935,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999965,4,collapse,2.0.14,,group_by,2,0.194,NA,TRUE,29998597;79991898;499980747,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717777936,groupby,G1_1e7_1e1_0_0,10000000,median v3 sd v3 by id4 id5,100,4,collapse,2.0.14,,group_by,1,0.104,NA,TRUE,4999.573;2887.162,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777936,groupby,G1_1e7_1e1_0_0,10000000,median v3 sd v3 by id4 id5,100,4,collapse,2.0.14,,group_by,2,0.083,NA,TRUE,4999.573;2887.162,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777937,groupby,G1_1e7_1e1_0_0,10000000,max v1 - min v2 by id3,999951,2,collapse,2.0.14,,group_by,1,0.194,NA,TRUE,2789316,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777937,groupby,G1_1e7_1e1_0_0,10000000,max v1 - min v2 by id3,999951,2,collapse,2.0.14,,group_by,2,0.18,NA,TRUE,2789316,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777938,groupby,G1_1e7_1e1_0_0,10000000,largest two v3 by id6,1999930,2,collapse,2.0.14,,group_by,1,0.368,NA,TRUE,170038029,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777939,groupby,G1_1e7_1e1_0_0,10000000,largest two v3 by id6,1999930,2,collapse,2.0.14,,group_by,2,0.347,NA,TRUE,170038029,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777939,groupby,G1_1e7_1e1_0_0,10000000,regression v1 v2 by id2 id4,100,3,collapse,2.0.14,,group_by,1,0.356,NA,TRUE,0.001036507,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777940,groupby,G1_1e7_1e1_0_0,10000000,regression v1 v2 by id2 id4,100,3,collapse,2.0.14,,group_by,2,0.34,NA,TRUE,0.001036507,0,NA,FALSE
